item_id,major_brand
UBK UT OVNT CLNJR,KOTEX
WNDFL PSTCH RSTD S,WONDERFUL
TST STDL CIN,PILLSBURY
LOF BF HNY GL20 SM,LAND_OFROST
BODY/ BOLSTER PILLOW AST,BODY_BENEFITS
HALLS SF DFNS BNS,HALLS
KEMP SF FF VN FZYG,KEMPS
MARLBORO SPE BLND,MARLBORO
KIRBY / LB,GOYA
SPRK ICE LEM-LIME,TALKING_RAIN
GFREEN CUCUMBER,PLU_VEGETABLE
SND RCH CMBU,FARM_RICH
WELCHS GRAPE JELLU,WELCHS
BRKSTN SRCRM 16OZ,BREAKSTONES
POP TRATS CK CONFE,KELLOGGS
ENT LB MIN FLD BRN,ENTENMANNS
STUFFED SHELLS./ MANACANI,KRAFT
GAME CIGARILLO WHTE GRPE,BOUNTY
SEC RO PWD F,SECRET
ORGNX REN MR AO LT 3.3Z,PANTENE
UBKOTEX TAMP REGULAR,KOTEX
ORG BRN JASMINE RIC,GOYA
DOC MCSTUFFINS PUZZLE ON THE GO!,LEAPFROG
KNGS HAW RO 3.49,KINGS_HAWAIIAN
WATERMELON,PLU_FRUIT
DRN 4PK ACTIVIA BL MVP,DANNON
SKIP-FLEA AND TICK SHAMPOO,HARTZ
LOVE CRUNCH DARK CHOCOLATE & RED GRAN PROMO,NATURE_VALLEY
SPARKLE 3 RL PRINTS,SPARKLE
HOLIDAY NOG,HERSHEYS
SA BUN SZ FRNK,BARS
TJ LOBSTER BISQUE,RED_LOBSTER
BOUNTY BASIC WHT 48CT 1RL MERCHANDISE MANUF COUPON,BOUNTY
OSCAR BACON CPN,OSCAR_MAYER
GRAB GRD BLBRY,GERBER
KLG PT FRT STRW,KELLOGGS
ALTOIDS,ALTOIDS
STUFFNG/UTILTY PAN,PLU_BAKERY
KRO SAD CRS,PLU_MEAT
REAMES HOMESTYLE NDL,REAMES
MARG SANDW PEPPR,PLU_VEGETABLE
PF GOLD LYR CAKE,PEPPERIDGE_FARM
MSF TURKEY BRGR 9Z,PLU_MEAT
DERER PRK PINT,PLU_MEAT
KR MACH/CHSE DIN,KRAFT
DAISY SOUR CREM PC,DAISY
TIC TAC BIG PK WGRN 95Z,TIC_TAC
TAMTV BRO,BROUGHTON
ECPN FF BIRDS EYT,KRAFT
EGGROLL CHICKN 2PC,STOUFFERS
TYSN MINI CHKN SAN,TYSON
SFY SNAP PE+S 8OZ,SNAPPLE
NATURES CMN CIN RSN BREAD,NATURES_OWN
COFFEEMATE PUMPKI MFG CPN,NESTLE
EGGS CG FR COOKED 9.3OZ,EGGLANDS_BEST
KR GARBAGE MED BAG,GLAD
SORRENTO R F STRIN,SORRENTO
2 .99 CMPBL CHKN NDL SOU MVP,CAMPBELLS
BEEF BONE FOR SOUP,PLU_MEAT
M M PEANUT M MS,MNMS
